,Test Outcome,Failure,Success,Unknown,Grand Total
Date (Year),Date (Month),Missile Name (Count All),,,
1984,April,,3,,3
,September,3,,,3
1984 Total,,3,3,,6
1986,May,,,1,1
1986 Total,,,,1,1
1990,May,1,,,1
,June,,1,,1
1990 Total,,1,1,,2
1991,July,,1,,1
1991 Total,,,1,,1
1992,June,1,,,1
1992 Total,,1,,,1
1993,May,,3,1,4
1993 Total,,,3,1,4
1998,August,1,,,1
1998 Total,,1,,,1
2006,July,1,6,,7
2006 Total,,1,6,,7
2009,April,1,,,1
,July,,7,,7
2009 Total,,1,7,,8
2012,April,1,,,1
,December,,1,,1
2012 Total,,1,1,,2
2013,May,,6,,6
2013 Total,,,6,,6
2014,February,,4,,4
,March,,4,,4
,June,,3,,3
,July,,5,,5
,August,,1,,1
,September,,2,,2
2014 Total,,,19,,19
2015,February,,5,,5
,March,,2,,2
,April,,5,,5
,May,,1,,1
,November,1,,,1
,December,1,,,1
2015 Total,,2,13,,15
2016,February,,1,,1
,March,1,3,,4
,April,3,1,,4
,May,1,,,1
,June,1,1,,2
,July,1,3,,4
,August,1,2,,3
,September,,3,,3
,October,2,,,2
2016 Total,,10,14,,24
2017,February,,1,,1
,March,2,4,,6
,April,3,,,3
,May,,3,,3
,July,,2,,2
,August,1,2,1,4
,September,,1,,1
,November,,1,,1
2017 Total,,6,14,1,21
2019,April,,1,,1
,May,,4,,4
,July,,4,,4
,August,,10,,10
,September,1,2,,3
,October,,3,,3
,November,,2,,2
2019 Total,,1,26,,27
2020,March,,9,,9
2020 Total,,,9,,9
2021,March,,2,,2
,September,,3,,3
,October,,1,,1
2021 Total,,,6,,6
2022,January,,9,,9
,February,,1,,1
,March,1,2,,3
,April,,2,,2
,May,3,1,4,8
,June,,,8,8
,September,,7,,7
,October,,5,1,6
2022 Total,,4,27,13,44
Grand Total,,32,156,16,204